Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
151,21,2,,,,,,95,10,2,,,,,
143,18,2,,,,,,86,7,2,,,,,
127,8,2,,,,,,83,5,2,,,,,
122,8,2,,,,,,80,4,2,,,,,
112,7,,,,,,,70,2,,,,,,
112,3,2,,,,,,70,3,2,,,,,
103,8,6,,,,,,66,6,5,,,,,
86,,,,,,,,62,,,,,,,
86,,,,,,,,60,,,,,,,
86,,,,,,,,59,,,,,,,
49,,,,,,,,29,,,,,,,
