Rooms,Type,Price,Method,Regionname,Bathroom,Car,Landsize,Distance,Bedroom
2,t,775000,S,Southern Metropolitan,1,1,0,25.9,2
3,t,920000,SP,Southern Metropolitan,1,0,162,21.1,1
2,h,1220000,S,Southern Metropolitan,2,1,120,14.8,3
4,h,1460000,S,Southern Metropolitan,1,0,182,19.6,1
4,h,3000000,S,Southern Metropolitan,1,1,172,15.0,2
3,h,1110000,S,Eastern Metropolitan,2,1,303,16.1,4
4,h,960000,PI,Eastern Metropolitan,2,1,0,15.6,3
5,h,1090000,S,Eastern Metropolitan,2,1,0,18.8,3
3,h,980000,PI,Eastern Metropolitan,1,1,580,16.9,1
4,h,1925000,PI,Eastern Metropolitan,2,2,239,21.3,2
3,u,710000,S,Eastern Metropolitan,1,1,290,15.5,3
4,h,985000,S,South-Eastern Metropolitan,1,1,168,18.3,2
4,h,2250000,VB,Southern Metropolitan,1,1,110,16.2,2
4,h,2137000,S,Southern Metropolitan,1,1,0,20.6,3
4,h,2975000,S,Southern Metropolitan,1,1,265,16.3,3
2,h,740000,PI,Northern Metropolitan,1,1,192,19.6,3
3,h,900000,SP,Northern Metropolitan,2,2,596,26.0,3
3,h,1120000,S,Northern Metropolitan,1,2,971,16.9,2
2,t,560000,S,Northern Metropolitan,1,1,164,22.0,3
3,h,1685000,S,Northern Metropolitan,2,2,657,18.4,2
2,u,625000,S,Northern Metropolitan,1,1,612,11.8,2
3,h,1470000,S,Northern Metropolitan,2,5,612,17.0,2
2,h,860000,S,Northern Metropolitan,1,1,775,8.2,3
3,t,900000,S,Northern Metropolitan,3,4,531,25.7,6
2,h,576000,S,Northern Metropolitan,3,2,555,25.9,2
4,h,1400000,VB,Northern Metropolitan,2,2,422,20.8,2
4,h,1150000,SP,Eastern Metropolitan,2,1,161,16.6,2
2,t,525000,S,Northern Metropolitan,2,1,293,25.8,3
4,h,740000,S,Northern Metropolitan,1,1,579,12.4,3
5,h,1265000,S,Southern Metropolitan,1,1,623,23.1,3
3,h,1000000,PI,Southern Metropolitan,1,1,141,16.1,2
4,t,1460000,S,Eastern Metropolitan,2,1,212,19.6,3
4,t,1200000,SP,Eastern Metropolitan,1,2,612,21.4,3
4,h,935000,S,Eastern Metropolitan,3,2,532,20.0,3
2,u,868000,SA,Southern Metropolitan,1,1,585,22.0,2
2,u,495000,PI,Southern Metropolitan,1,2,509,22.4,3
2,h,1470000,S,Northern Metropolitan,1,0,120,15.9,2
3,h,2410000,S,Northern Metropolitan,1,0,159,10.4,3
4,h,1775000,S,Southern Metropolitan,2,0,211,20.4,3
1,u,295000,S,Southern Metropolitan,1,0,215,10.8,5
4,h,629000,S,Western Metropolitan,1,0,130,20.8,3
2,t,406000,S,Western Metropolitan,2,1,336,11.1,3
3,h,825000,S,South-Eastern Metropolitan,1,0,147,18.7,3
4,h,581500,S,South-Eastern Metropolitan,1,1,167,24.2,2
3,h,1400000,S,Southern Metropolitan,2,1,153,17.0,3
3,h,1538000,S,Southern Metropolitan,2,1,132,17.0,3
3,u,886000,S,South-Eastern Metropolitan,1,1,199,16.2,3
7,h,4000000,S,South-Eastern Metropolitan,1,0,126,16.7,2
4,t,1010000,S,South-Eastern Metropolitan,1,0,240,14.5,3
2,t,697500,S,South-Eastern Metropolitan,2,1,177,22.2,3
3,h,800000,S,South-Eastern Metropolitan,1,0,129,17.7,4
3,h,1805000,S,Northern Metropolitan,1,0,288,26.0,3
3,h,1400000,S,Northern Metropolitan,1,2,366,17.5,4
3,h,1032500,S,Northern Metropolitan,2,1,228,17.2,4
3,h,1070000,SP,Northern Metropolitan,1,0,149,17.3,2
3,h,1005000,S,Northern Metropolitan,1,1,152,25.2,2
2,h,905000,SP,Northern Metropolitan,1,0,141,21.4,3
2,u,412000,S,Northern Metropolitan,2,1,211,17.9,3
1,u,333000,SP,Northern Metropolitan,1,0,236,27.5,2
2,h,797500,S,Northern Metropolitan,1,2,300,15.9,2
2,u,430000,SP,Northern Metropolitan,1,0,209,21.4,2
2,t,490000,S,Northern Metropolitan,2,0,147,17.5,1
4,h,960000,SP,Northern Metropolitan,1,0,173,23.3,2
2,u,960000,S,Northern Metropolitan,1,0,169,17.6,4
3,h,356500,S,Northern Metropolitan,1,1,0,20.1,3
4,h,580500,S,Northern Metropolitan,1,1,120,13.6,3
3,h,573000,S,Northern Metropolitan,2,1,241,19.4,3
4,h,475000,SP,Northern Metropolitan,2,1,225,21.7,2
3,t,385000,S,Northern Metropolitan,7,0,435,18.0,3
3,h,475000,S,South-Eastern Metropolitan,1,0,0,18.7,3
3,t,744000,SP,Eastern Metropolitan,2,1,330,13.6,3
3,h,746000,S,Eastern Metropolitan,3,1,0,11.6,2
3,h,965000,S,Eastern Metropolitan,2,2,325,25.1,3
3,h,455500,S,Northern Metropolitan,2,1,183,17.9,5
3,h,610000,S,South-Eastern Metropolitan,1,1,162,22.6,3
2,u,307000,S,South-Eastern Metropolitan,1,0,99,16.8,3
2,h,1610000,S,Southern Metropolitan,2,1,141,21.7,2
5,h,589000,S,Western Metropolitan,2,0,152,23.4,2
4,h,603000,S,Western Metropolitan,2,2,147,23.6,3
3,h,335000,S,Western Metropolitan,3,1,0,18.0,2
4,h,730000,SP,Northern Victoria,1,0,81,17.7,2
4,h,920000,S,South-Eastern Metropolitan,2,1,174,27.5,2
3,h,770000,S,South-Eastern Metropolitan,2,4,853,26.5,3
4,h,1140000,S,South-Eastern Metropolitan,2,2,208,18.7,3
4,h,910000,S,South-Eastern Metropolitan,2,2,411,22.2,3
4,h,1556000,S,Eastern Metropolitan,1,3,922,23.6,3
4,h,1249000,S,Eastern Metropolitan,2,1,599,19.9,3
3,t,950000,S,Eastern Metropolitan,4,4,809,19.3,3
3,t,820000,S,Eastern Metropolitan,3,4,743,16.8,4
4,h,1730000,S,Eastern Metropolitan,1,1,88,14.5,3
3,h,1260000,S,Eastern Metropolitan,1,1,0,17.8,2
1,u,675000,SP,Northern Metropolitan,3,2,686,27.0,3
4,h,4150000,S,Northern Metropolitan,1,2,592,18.8,2
3,h,2250000,VB,Southern Metropolitan,2,2,606,21.2,3
3,h,840500,SP,Eastern Metropolitan,2,2,575,22.1,2
3,h,900000,S,Eastern Metropolitan,1,1,180,21.3,7
3,h,837000,S,Eastern Metropolitan,1,1,0,25.6,3
4,h,1000000,S,Eastern Metropolitan,1,0,0,14.6,1
2,u,805000,S,Southern Metropolitan,2,2,597,16.2,4
4,h,2985000,S,Southern Metropolitan,1,2,979,14.4,2
4,h,690000,S,South-Eastern Metropolitan,2,2,556,15.9,3
3,h,497000,S,Northern Metropolitan,2,2,552,23.0,3
3,h,507500,S,Northern Metropolitan,0,0,597,16.3,3
5,h,1010000,S,Northern Metropolitan,2,3,589,25.1,3
4,h,1930000,S,Western Metropolitan,2,1,352,21.6,2
4,h,1399000,S,Western Metropolitan,3,3,729,17.1,2
3,h,1512000,S,Western Metropolitan,1,2,292,10.6,2
4,h,2000000,SP,Western Metropolitan,1,2,506,23.8,4
3,u,552000,S,Western Metropolitan,1,4,655,21.6,3
2,u,860000,S,Western Metropolitan,3,6,1057,13.5,3
4,h,946000,S,Western Metropolitan,1,2,311,10.0,3
3,h,1430000,S,Western Metropolitan,1,1,65,16.2,3
4,h,1270000,SA,Northern Metropolitan,1,1,602,18.8,1
3,h,635000,S,Northern Metropolitan,1,1,530,16.0,3
3,h,705000,S,Northern Metropolitan,1,1,225,20.8,3
3,t,625000,S,Northern Metropolitan,1,4,777,15.7,3
3,h,665508,SP,Eastern Metropolitan,2,2,280,26.4,3
3,h,691000,S,Eastern Metropolitan,1,1,127,14.8,3
4,h,815000,S,Eastern Metropolitan,1,2,115,24.2,4
3,h,730000,S,Eastern Metropolitan,2,2,230,10.0,5
1,u,720000,SP,Northern Metropolitan,1,1,0,16.7,5
3,h,1890000,S,Northern Metropolitan,1,1,0,24.1,2
3,h,1454000,S,Northern Metropolitan,1,2,745,18.4,2
3,h,1310000,SP,Northern Metropolitan,2,2,211,26.1,2
4,h,3259000,S,Northern Metropolitan,2,1,69,21.0,3
2,h,1325000,S,Northern Metropolitan,1,1,168,19.6,3
1,u,331000,SP,Western Metropolitan,1,1,137,19.0,2
3,h,1000000,PI,Western Metropolitan,2,1,70,25.1,4
2,t,771000,S,Western Metropolitan,1,2,606,19.6,4
3,h,1260000,S,Eastern Metropolitan,2,1,175,22.2,3
3,h,508000,S,South-Eastern Metropolitan,1,2,363,19.3,2
2,h,501500,S,South-Eastern Metropolitan,2,2,534,15.6,0
3,h,450000,S,Eastern Victoria,1,2,724,20.7,2
4,h,650000,S,Western Metropolitan,2,0,265,18.2,4
3,h,3730000,S,Southern Metropolitan,2,1,205,17.6,3
3,h,1225000,S,Southern Metropolitan,2,3,504,13.8,4
4,h,1500000,VB,Southern Metropolitan,1,2,181,18.0,5
4,t,1100080,SP,Eastern Metropolitan,2,2,529,19.7,3
4,h,1520000,SP,Eastern Metropolitan,2,1,675,16.4,4
7,h,1716000,S,Eastern Metropolitan,1,1,929,23.1,3
5,h,1100000,PI,Eastern Metropolitan,2,1,70,33.1,5
4,h,1467000,S,Eastern Metropolitan,1,4,697,19.2,2
3,h,1600000,PI,Eastern Metropolitan,1,2,604,18.8,3
4,h,1311000,S,Eastern Metropolitan,2,3,532,27.2,4
3,t,582000,S,Northern Metropolitan,1,1,620,21.0,4
3,h,536000,S,Western Metropolitan,3,6,592,16.9,2
3,h,696000,S,Western Metropolitan,1,2,533,13.6,2
3,h,768000,S,Northern Metropolitan,1,3,554,27.4,3
4,h,812000,S,Northern Metropolitan,1,1,77,18.7,3
3,h,782000,S,Northern Metropolitan,1,3,655,19.7,2
4,h,680000,S,Northern Metropolitan,1,2,534,12.5,3
4,h,632000,S,Northern Metropolitan,2,1,0,21.3,3
3,h,473000,SP,Northern Metropolitan,1,1,328,14.2,2
3,h,2288500,S,Southern Metropolitan,1,3,540,19.5,4
2,u,620000,PI,Southern Metropolitan,2,5,537,21.2,2
2,u,600000,S,Southern Metropolitan,1,3,554,22.0,3
2,u,655000,S,Eastern Metropolitan,1,4,558,17.9,3
3,h,1322000,S,Southern Metropolitan,2,2,171,21.6,2
4,h,715000,S,Western Metropolitan,1,4,851,20.8,2
2,u,660000,VB,Eastern Metropolitan,1,3,551,21.7,4
3,h,1977000,S,Eastern Metropolitan,1,1,0,21.0,3
4,h,1275000,PI,Eastern Metropolitan,1,3,602,20.5,3
3,h,1781000,S,Eastern Metropolitan,1,2,740,25.4,3
3,h,575000,S,Northern Metropolitan,2,4,315,11.7,2
3,h,542000,S,Northern Metropolitan,2,2,276,20.9,2
3,h,950000,S,Western Metropolitan,1,1,531,26.4,3
4,h,850000,S,Western Metropolitan,2,1,590,18.8,3
3,u,680000,S,Western Metropolitan,1,2,691,14.0,2
1,u,325000,PI,Northern Metropolitan,2,3,555,27.9,3
4,h,1103000,S,Northern Metropolitan,1,2,708,20.0,3
2,u,653000,S,Southern Metropolitan,1,3,668,11.3,3
3,h,2000000,S,Southern Metropolitan,1,4,633,19.3,3
4,h,2315000,SP,Southern Metropolitan,1,1,153,14.8,3
3,h,2155000,SP,Southern Metropolitan,1,1,305,15.0,3
3,u,830000,SP,Southern Metropolitan,1,1,0,20.0,4
4,h,1770000,S,Southern Metropolitan,2,2,0,15.1,4
3,h,600000,PI,South-Eastern Metropolitan,2,2,101,19.9,3
4,h,1120000,VB,Northern Metropolitan,1,2,0,12.3,2
3,u,710000,S,Northern Metropolitan,1,1,183,20.8,3
1,u,360000,PI,Southern Metropolitan,1,0,881,20.5,2
4,h,2400000,VB,Southern Metropolitan,1,1,0,15.0,3
3,h,1350000,S,Southern Metropolitan,2,1,205,16.4,3
3,h,2000000,S,Southern Metropolitan,2,2,0,23.2,3
3,t,1150000,VB,Southern Metropolitan,2,2,1581,16.6,3
2,u,330000,S,Western Metropolitan,2,2,693,19.4,4
5,h,1425000,SP,Western Metropolitan,1,2,500,19.2,2
3,u,875000,PI,Southern Metropolitan,2,1,2113,20.9,3
2,h,1265000,S,Southern Metropolitan,1,1,0,18.3,5
3,h,1200000,SP,Southern Metropolitan,2,2,246,20.4,3
3,h,520000,S,Northern Metropolitan,2,2,369,21.8,3
2,u,605000,S,Northern Metropolitan,2,1,175,21.4,2
2,u,649000,PI,Northern Metropolitan,1,1,0,19.9,3
3,h,431000,S,Western Victoria,1,1,0,16.8,3
4,h,1300000,S,South-Eastern Metropolitan,2,1,144,18.7,3
1,u,337000,S,South-Eastern Metropolitan,4,2,662,12.7,3
4,h,525500,S,Northern Metropolitan,1,1,0,19.2,3
2,u,800000,S,Southern Metropolitan,2,2,551,19.2,3
3,h,425000,S,Northern Metropolitan,2,2,0,17.6,3
3,h,595500,S,Northern Metropolitan,2,0,246,19.7,4
3,h,660000,S,Northern Metropolitan,1,1,0,25.5,3
3,h,1300000,SP,Eastern Metropolitan,1,0,249,16.4,2
3,h,820000,SP,Eastern Metropolitan,2,2,624,18.9,4
3,h,725000,S,Eastern Metropolitan,2,3,0,16.0,3
2,h,1180000,S,Western Metropolitan,2,2,292,11.0,3
2,h,910000,S,Western Metropolitan,2,1,482,22.1,4
3,h,887500,S,Western Metropolitan,1,0,881,16.7,3
3,h,1143000,S,Western Metropolitan,2,1,228,22.5,1
3,h,1330000,S,Western Metropolitan,1,2,495,22.2,3
5,h,1410000,S,Southern Metropolitan,1,1,0,21.6,3
1,t,457500,S,Southern Metropolitan,1,2,451,18.6,4
3,h,778000,S,Eastern Victoria,1,1,0,15.1,5
3,h,895000,S,South-Eastern Metropolitan,1,4,0,23.2,3
4,h,1300000,PI,South-Eastern Metropolitan,1,2,230,21.9,3
2,u,568888,S,Eastern Metropolitan,3,4,1491,22.0,3
5,h,3105000,S,Eastern Metropolitan,2,2,449,10.2,3
4,h,1500000,S,Eastern Metropolitan,1,2,169,16.4,2
3,t,1030000,S,Eastern Metropolitan,3,1,301,19.1,3
3,h,1360000,S,Eastern Metropolitan,1,1,734,16.4,4
4,h,980000,SP,Eastern Metropolitan,2,1,316,22.9,4
5,h,1601000,SP,Eastern Metropolitan,1,1,0,16.9,4
4,h,1780000,S,Eastern Metropolitan,2,2,0,20.0,4
3,h,630000,S,South-Eastern Metropolitan,1,1,0,21.7,3
5,h,880000,S,South-Eastern Metropolitan,1,1,0,20.0,3
3,h,920000,S,South-Eastern Metropolitan,1,2,328,23.5,2
4,h,1550000,VB,Southern Metropolitan,2,2,0,18.9,2
2,u,720000,PI,Southern Metropolitan,3,2,0,16.5,2
2,u,586500,S,Southern Metropolitan,2,1,2659,16.5,2
3,h,551000,SP,South-Eastern Metropolitan,1,1,0,22.6,3
4,h,510000,SP,South-Eastern Metropolitan,1,0,151,26.4,3
3,h,1270000,S,Western Metropolitan,1,1,0,11.3,3
4,h,710000,S,South-Eastern Metropolitan,1,1,2471,23.2,3
6,h,1815000,S,Northern Metropolitan,1,1,1194,17.7,1
1,u,420000,SP,Northern Metropolitan,1,1,0,25.5,3
2,h,1200000,PI,Northern Metropolitan,2,2,459,25.2,4
1,u,345000,PI,Northern Metropolitan,1,2,186,18.9,2
3,t,1075000,SP,Northern Metropolitan,1,2,251,18.1,2
3,h,1332000,S,Northern Metropolitan,1,1,0,17.2,3
3,h,857000,S,Northern Metropolitan,1,2,709,18.3,1
4,h,945000,S,Northern Metropolitan,3,3,563,19.3,2
4,t,986000,S,Southern Metropolitan,1,2,103,20.3,3
2,h,1120000,S,South-Eastern Metropolitan,2,2,617,22.9,2
3,u,710000,PI,South-Eastern Metropolitan,1,1,0,14.6,2
2,u,420000,S,Southern Metropolitan,1,2,0,16.5,3
2,u,490000,SP,Southern Metropolitan,3,4,544,22.7,4
3,t,1100000,S,Southern Metropolitan,1,1,0,12.1,8
3,h,1260000,S,South-Eastern Metropolitan,2,1,196,23.0,4
3,h,1200000,S,South-Eastern Metropolitan,1,4,0,21.7,3
1,u,668000,S,Northern Metropolitan,2,2,617,23.3,2
4,h,945000,S,Northern Metropolitan,1,1,0,14.6,2
2,t,650000,SP,Northern Metropolitan,1,1,0,15.6,4
4,h,1510000,S,Northern Metropolitan,0,0,0,23.2,2
2,t,522000,SP,Northern Metropolitan,1,1,266,16.3,2
3,u,760000,S,Northern Metropolitan,1,1,0,17.7,3
3,h,930000,S,Northern Metropolitan,1,2,305,12.0,2
3,t,645000,S,South-Eastern Metropolitan,1,2,0,13.5,3
3,h,641000,SP,Western Metropolitan,1,1,0,17.0,1
4,h,720000,VB,Western Metropolitan,1,2,271,15.6,1
3,h,1400000,S,Southern Metropolitan,2,2,277,31.3,4
4,t,2090000,SP,Southern Metropolitan,1,1,423,18.7,2
1,u,505000,S,Southern Metropolitan,3,1,478,23.7,3
3,h,1650000,S,Southern Metropolitan,1,2,623,16.0,2
1,u,311000,S,Southern Metropolitan,2,2,285,23.1,3
2,h,1325000,S,Southern Metropolitan,1,1,214,22.3,2
2,u,940000,S,Southern Metropolitan,1,1,226,14.5,4
2,u,410000,VB,Northern Metropolitan,1,1,269,15.0,3
3,t,640000,VB,Northern Metropolitan,1,1,417,8.8,2
3,h,1239500,S,Northern Metropolitan,1,2,350,18.8,3
2,h,530000,S,Northern Metropolitan,1,1,330,17.4,1
3,h,610000,S,Northern Metropolitan,1,1,118,21.9,3
2,h,710000,S,Northern Metropolitan,1,1,173,25.0,3
1,u,357500,SP,Northern Metropolitan,1,2,228,13.7,4
2,u,560000,S,Northern Metropolitan,1,2,398,15.7,1
2,u,390000,SP,Northern Metropolitan,1,2,594,20.1,3
3,h,700000,PI,Northern Metropolitan,1,0,317,28.2,2
3,h,500000,SP,Northern Metropolitan,1,1,226,17.2,3
2,t,655000,S,Northern Metropolitan,1,1,300,20.7,3
2,h,520000,S,Northern Metropolitan,1,1,170,17.6,5
3,h,850000,SP,Northern Metropolitan,1,2,462,14.8,2
3,h,886500,S,Northern Metropolitan,1,1,487,17.3,3
2,h,1110000,S,Northern Metropolitan,1,0,255,31.7,3
2,u,906000,S,Northern Metropolitan,1,1,0,23.5,3
2,t,1100000,PI,Northern Metropolitan,1,2,431,26.4,2
2,u,610000,VB,Northern Metropolitan,2,3,950,17.3,1
2,u,514500,SP,Northern Metropolitan,2,2,440,18.1,2
3,h,1619000,S,Northern Metropolitan,1,1,0,21.2,2
3,h,410000,S,Northern Victoria,2,2,495,23.4,3
3,h,739000,S,Eastern Metropolitan,1,1,263,18.1,3
3,h,700000,S,Eastern Metropolitan,2,5,559,20.4,2
3,h,805000,S,Eastern Metropolitan,2,2,308,17.3,2
4,h,868200,S,South-Eastern Metropolitan,1,1,301,21.6,3
4,h,462000,S,Northern Metropolitan,1,1,242,21.7,2
3,h,393500,S,Northern Metropolitan,2,2,617,21.4,3
3,h,1450000,PI,Southern Metropolitan,1,3,575,17.1,3
3,h,821000,S,Eastern Metropolitan,2,1,146,16.1,3
4,h,701000,S,South-Eastern Metropolitan,2,1,113,16.7,2
3,h,865500,S,Western Metropolitan,1,1,0,16.1,2
2,u,362000,S,Western Metropolitan,2,1,0,23.9,1
2,u,651000,S,Southern Metropolitan,2,2,318,13.1,2
4,h,711000,S,Northern Metropolitan,2,3,833,20.9,1
4,h,560000,SP,Northern Metropolitan,1,1,0,22.0,2
3,t,387000,SP,Northern Metropolitan,1,1,325,18.4,2
5,h,920000,S,Northern Metropolitan,1,1,0,23.9,2
4,h,706000,S,Northern Metropolitan,1,1,0,24.0,3
5,h,5000000,VB,Southern Metropolitan,3,4,487,20.3,3
2,u,495000,SP,Southern Metropolitan,1,2,414,18.2,4
2,u,705000,S,Southern Metropolitan,2,1,272,25.2,3
1,u,392000,S,Southern Metropolitan,1,1,296,10.5,2
2,u,630000,SP,Southern Metropolitan,2,1,298,13.6,1
3,t,667500,SP,Western Metropolitan,2,1,0,7.5,4
3,h,860000,S,South-Eastern Metropolitan,1,1,206,20.5,4
4,h,860000,SP,Western Metropolitan,1,1,1957,19.1,3
3,h,610000,PI,Western Metropolitan,1,1,552,18.7,3
3,h,645000,SA,Western Metropolitan,2,2,416,16.2,2
1,h,1100000,SP,Western Metropolitan,2,1,314,26.6,2
3,u,640000,S,Southern Metropolitan,1,3,536,14.8,4
2,u,501500,S,Southern Metropolitan,1,3,252,18.3,3
4,h,1301000,S,Western Metropolitan,1,1,124,23.1,2
3,h,900000,PI,Western Metropolitan,1,3,0,15.4,3
2,u,430000,VB,Western Metropolitan,2,1,349,24.1,2
3,h,1200000,SA,Western Metropolitan,1,4,664,16.2,5
3,h,612000,SP,Western Metropolitan,1,1,555,21.8,3
3,h,732000,S,Western Metropolitan,2,2,459,23.8,1
4,h,861800,S,Western Metropolitan,1,1,278,24.1,2
4,t,630000,SP,Western Metropolitan,2,1,254,19.2,3
5,h,3250000,PI,Southern Metropolitan,1,2,194,22.0,2
5,h,593000,S,Western Metropolitan,1,1,407,18.6,3
4,h,547000,S,Western Metropolitan,3,2,753,16.2,3
4,h,645500,S,Western Metropolitan,2,2,599,24.3,3
5,h,1952000,S,Eastern Metropolitan,2,2,203,25.5,2
3,h,1175000,S,Eastern Metropolitan,3,4,310,19.5,3
4,h,1750000,S,Eastern Metropolitan,1,1,370,22.5,3
4,h,1380000,S,Eastern Metropolitan,1,1,710,15.4,2
3,t,965000,S,Eastern Metropolitan,1,2,679,21.2,4
4,h,1150000,S,Eastern Metropolitan,2,2,731,23.7,3
3,u,517000,S,Northern Metropolitan,3,2,276,26.8,3
3,h,525000,S,Northern Metropolitan,1,2,583,11.6,2
2,h,1260000,S,Northern Metropolitan,2,1,681,19.9,6
4,h,1651118,S,Northern Metropolitan,2,2,516,23.7,2
2,u,580000,VB,Southern Metropolitan,1,2,699,21.0,2
2,u,1850000,S,Southern Metropolitan,1,2,697,17.9,3
4,h,695000,S,Western Metropolitan,2,2,513,22.4,3
3,h,560000,S,Western Metropolitan,2,2,780,18.5,2
4,h,1120000,PI,Eastern Metropolitan,2,2,351,22.0,2
4,h,921000,S,Eastern Metropolitan,2,1,404,15.7,2
5,h,1390000,S,Eastern Metropolitan,1,2,704,27.1,3
3,h,452000,S,Western Metropolitan,2,2,696,19.0,2
3,h,430000,SP,Western Metropolitan,1,2,697,28.8,3
3,h,720000,S,Western Metropolitan,5,2,755,14.0,4
2,h,930000,S,Western Metropolitan,2,2,591,20.2,2
1,u,315000,S,Northern Metropolitan,1,1,227,17.6,3
2,t,470000,SP,Northern Metropolitan,2,2,153,19.1,2
4,h,1050000,S,South-Eastern Metropolitan,3,1,310,14.7,3
3,h,1520000,SP,Western Metropolitan,2,2,710,17.9,4
3,h,1621000,S,Western Metropolitan,1,2,672,22.5,2
4,h,567500,SA,Northern Metropolitan,2,4,749,14.2,4
3,h,380000,S,Western Metropolitan,2,2,703,21.5,3
2,u,607500,SP,Western Metropolitan,1,1,687,19.3,2
3,h,1120000,SP,Western Metropolitan,2,2,321,13.1,2
2,h,802000,SP,Western Metropolitan,1,2,583,17.9,3
6,h,1550000,S,Western Metropolitan,3,4,700,21.5,4
3,h,1350000,S,Northern Metropolitan,2,3,696,29.2,3
3,h,858000,SP,Western Metropolitan,2,2,295,22.1,3
2,u,593000,S,Western Metropolitan,1,2,752,25.0,1
3,h,640000,S,Western Metropolitan,2,2,514,18.0,3
3,h,961000,S,Western Metropolitan,2,2,844,18.4,3
2,h,1535000,S,Southern Metropolitan,1,2,637,23.3,3
3,h,570000,S,Western Metropolitan,1,2,1063,17.4,4
4,h,2345000,S,Northern Metropolitan,1,1,697,18.0,3
3,h,900000,S,Western Metropolitan,1,1,583,23.4,2
2,t,650000,SP,Western Metropolitan,1,1,842,19.7,4
5,h,5200000,SP,Southern Metropolitan,2,2,467,15.0,4
3,h,950000,S,Western Metropolitan,3,2,372,17.9,2
3,h,1225000,S,Southern Metropolitan,2,3,675,18.3,3
5,h,1025000,S,Northern Metropolitan,2,2,621,28.3,3
3,u,622000,S,Western Metropolitan,1,2,723,12.5,3
3,h,825000,SP,Western Metropolitan,1,2,367,13.2,4
4,h,1475000,PI,Southern Metropolitan,2,4,400,20.0,2
5,h,3050000,VB,Southern Metropolitan,2,1,724,25.6,3
5,h,2160000,S,Southern Metropolitan,1,1,792,16.8,5
3,t,1050000,PI,Southern Metropolitan,2,2,803,14.8,2
3,h,1275000,VB,Southern Metropolitan,1,2,981,16.7,2
4,h,825000,SP,Eastern Metropolitan,1,1,768,18.4,2
2,u,800000,VB,Southern Metropolitan,1,1,216,17.8,2
4,h,1221000,PI,Southern Metropolitan,2,3,782,22.3,3
4,h,1800000,S,Southern Metropolitan,1,2,785,23.7,3
3,h,1365000,S,Southern Metropolitan,1,2,772,21.2,6
5,h,1220000,S,Southern Metropolitan,3,2,585,14.2,2
3,h,1020000,S,Eastern Metropolitan,1,1,153,15.4,2
3,h,642000,S,Eastern Metropolitan,1,2,353,14.1,4
3,h,840000,S,Eastern Metropolitan,1,1,72,17.4,2
1,u,380000,VB,Southern Metropolitan,2,2,743,16.3,2
5,h,3250000,SP,Southern Metropolitan,1,1,706,12.1,4
4,t,1731000,SP,Southern Metropolitan,1,1,557,11.5,3
3,t,465000,S,Northern Metropolitan,2,2,766,22.4,3
3,h,518500,S,Northern Metropolitan,2,2,731,14.3,3
3,u,665000,S,Western Metropolitan,1,2,192,14.1,3
2,h,573000,S,Northern Metropolitan,2,1,727,26.9,4
3,h,1060000,S,Eastern Metropolitan,1,1,586,18.0,3
3,h,682000,S,Northern Metropolitan,2,1,320,10.9,3
2,u,677000,S,Southern Metropolitan,2,2,256,15.9,2
